Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/04/2005;No data;20;12;No data;No data;No data;No data
02/04/2005;No data;49;27;No data;No data;No data;No data
03/04/2005;No data;46;51;No data;No data;No data;No data
04/04/2005;No data;75;71;No data;No data;No data;No data
05/04/2005;No data;72;73;No data;No data;No data;No data
06/04/2005;No data;78;68;No data;No data;No data;No data
07/04/2005;No data;65;65;No data;No data;No data;No data
08/04/2005;No data;71;73;No data;No data;No data;No data
09/04/2005;No data;72;76;No data;No data;No data;No data
10/04/2005;No data;76;79;No data;No data;No data;No data
11/04/2005;No data;68;72;No data;No data;No data;No data
12/04/2005;No data;69;71;No data;No data;No data;No data
13/04/2005;No data;54;46;No data;No data;No data;No data
14/04/2005;No data;48;64;No data;No data;No data;No data
15/04/2005;No data;82;73;No data;No data;No data;No data
16/04/2005;No data;50;49;No data;No data;No data;No data
17/04/2005;No data;49;46;No data;No data;No data;No data
18/04/2005;No data;54;44;No data;No data;No data;No data
19/04/2005;No data;39;45;No data;No data;No data;52
20/04/2005;No data;72;84;No data;No data;No data;89
21/04/2005;No data;56;59;No data;No data;No data;78
22/04/2005;No data;56;60;No data;No data;No data;73
23/04/2005;No data;82;93;95;No data;No data;96
24/04/2005;No data;80;102;102;No data;No data;99
25/04/2005;No data;77;88;95;No data;No data;95
26/04/2005;No data;43;53;59;No data;No data;69
27/04/2005;No data;55;54;60;No data;No data;61
28/04/2005;No data;57;46;53;No data;No data;58
29/04/2005;No data;72;64;64;No data;No data;77
30/04/2005;No data;36;49;49;No data;No data;65
