Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/08/2005;No data;26;36;36;No data;No data;39
02/08/2005;No data;39;39;38;No data;No data;49
03/08/2005;No data;35;37;25;No data;No data;42
04/08/2005;No data;33;33;22;No data;No data;40
05/08/2005;No data;37;33;34;No data;No data;39
06/08/2005;No data;37;34;43;No data;No data;43
07/08/2005;No data;41;38;47;No data;No data;40
08/08/2005;No data;37;39;59;No data;No data;48
09/08/2005;No data;24;22;49;No data;No data;39
10/08/2005;No data;9;11;28;No data;No data;15
11/08/2005;No data;26;30;42;No data;No data;40
12/08/2005;No data;25;22;43;No data;No data;35
13/08/2005;No data;34;30;31;No data;No data;36
14/08/2005;No data;47;36;56;No data;No data;52
15/08/2005;No data;30;27;30;No data;No data;33
16/08/2005;No data;23;16;22;No data;No data;25
17/08/2005;No data;No data;42;No data;No data;No data;46
18/08/2005;No data;No data;54;No data;No data;No data;64
19/08/2005;No data;No data;32;No data;No data;No data;39
20/08/2005;No data;40;38;44;No data;No data;46
21/08/2005;No data;38;41;35;No data;No data;38
22/08/2005;No data;27;28;28;No data;No data;36
23/08/2005;No data;38;37;29;No data;No data;45
24/08/2005;No data;50;56;44;No data;No data;56
25/08/2005;No data;32;41;23;No data;No data;45
26/08/2005;No data;41;46;29;No data;No data;55
27/08/2005;No data;48;42;33;No data;No data;52
28/08/2005;No data;52;53;31;No data;No data;62
29/08/2005;No data;48;60;36;No data;No data;60
30/08/2005;No data;35;25;No data;No data;No data;49
31/08/2005;No data;60;37;No data;No data;No data;58
