Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/02/2005;No data;25;37;38;No data;No data;39
02/02/2005;No data;27;42;36;No data;No data;48
03/02/2005;No data;36;47;30;No data;No data;39
04/02/2005;No data;50;45;48;No data;No data;37
05/02/2005;No data;29;No data;32;No data;No data;18
06/02/2005;No data;28;No data;35;No data;No data;21
07/02/2005;No data;16;No data;27;No data;No data;11
08/02/2005;No data;29;No data;35;No data;No data;22
09/02/2005;No data;60;51;39;No data;No data;54
10/02/2005;No data;61;64;53;No data;No data;58
11/02/2005;No data;30;29;34;No data;No data;28
12/02/2005;No data;59;48;50;No data;No data;47
13/02/2005;No data;73;73;76;No data;No data;60
14/02/2005;No data;56;62;71;No data;No data;50
15/02/2005;No data;42;44;77;No data;No data;36
16/02/2005;No data;23;24;30;No data;No data;21
17/02/2005;No data;25;33;38;No data;No data;22
18/02/2005;No data;48;58;48;No data;No data;62
19/02/2005;No data;63;69;76;No data;No data;71
20/02/2005;No data;68;71;81;No data;No data;69
21/02/2005;No data;51;55;No data;No data;No data;65
22/02/2005;No data;38;50;No data;No data;No data;66
23/02/2005;No data;27;61;78;No data;No data;75
24/02/2005;No data;26;63;73;No data;No data;74
25/02/2005;No data;30;57;86;No data;No data;77
26/02/2005;No data;35;59;78;No data;No data;69
27/02/2005;No data;34;49;72;No data;No data;62
28/02/2005;No data;22;49;44;No data;No data;61
