Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/01/2005;No data;75;64;No data;No data;No data;74
02/01/2005;No data;69;67;No data;No data;No data;72
03/01/2005;No data;74;68;No data;No data;No data;75
04/01/2005;No data;67;63;No data;No data;No data;69
05/01/2005;No data;64;54;No data;No data;No data;66
06/01/2005;No data;58;49;No data;No data;No data;67
07/01/2005;No data;68;54;47;No data;No data;67
08/01/2005;No data;80;72;63;No data;No data;75
09/01/2005;No data;71;62;58;No data;No data;68
10/01/2005;No data;72;59;54;No data;No data;73
11/01/2005;No data;64;51;51;No data;No data;64
12/01/2005;No data;69;65;48;No data;No data;71
13/01/2005;No data;34;38;29;No data;No data;44
14/01/2005;No data;9;3;20;No data;No data;15
15/01/2005;No data;15;5;17;No data;No data;11
16/01/2005;No data;48;48;38;No data;No data;43
17/01/2005;No data;68;60;47;No data;No data;71
18/01/2005;No data;56;55;46;No data;No data;64
19/01/2005;No data;52;56;41;No data;No data;65
20/01/2005;No data;70;73;62;No data;No data;76
21/01/2005;No data;42;46;43;No data;No data;52
22/01/2005;No data;25;32;43;No data;No data;37
23/01/2005;No data;55;54;68;No data;No data;58
24/01/2005;No data;49;58;76;No data;No data;57
25/01/2005;No data;39;42;65;No data;No data;47
26/01/2005;No data;45;42;51;No data;No data;54
27/01/2005;No data;65;65;82;No data;No data;69
28/01/2005;No data;69;64;81;No data;No data;70
29/01/2005;No data;38;40;49;No data;No data;41
30/01/2005;No data;37;56;34;No data;No data;58
31/01/2005;No data;49;60;46;No data;No data;60
