Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/07/2005;No data;55;48;49;No data;No data;56
02/07/2005;No data;39;37;42;No data;No data;41
03/07/2005;No data;66;61;56;No data;No data;65
04/07/2005;No data;44;43;60;No data;No data;53
05/07/2005;No data;36;34;31;No data;No data;46
06/07/2005;No data;48;42;61;No data;No data;55
07/07/2005;No data;61;49;77;No data;No data;59
08/07/2005;No data;46;41;65;No data;No data;53
09/07/2005;No data;59;43;87;No data;No data;65
10/07/2005;No data;37;32;52;No data;No data;42
11/07/2005;No data;26;26;49;No data;No data;34
12/07/2005;No data;32;39;30;No data;No data;36
13/07/2005;No data;31;40;50;No data;No data;48
14/07/2005;No data;49;35;40;No data;No data;48
15/07/2005;No data;50;43;53;No data;No data;49
16/07/2005;No data;52;50;54;No data;No data;51
17/07/2005;No data;42;43;40;No data;No data;44
18/07/2005;No data;56;54;43;No data;No data;53
19/07/2005;No data;51;48;36;No data;No data;54
20/07/2005;No data;46;47;37;No data;No data;53
21/07/2005;No data;44;39;45;No data;No data;56
22/07/2005;No data;51;42;60;No data;No data;58
23/07/2005;No data;40;41;54;No data;No data;50
24/07/2005;No data;48;39;55;No data;No data;44
25/07/2005;No data;52;40;65;No data;No data;58
26/07/2005;No data;42;31;54;No data;No data;50
27/07/2005;No data;60;35;61;No data;No data;60
28/07/2005;No data;47;36;69;No data;No data;57
29/07/2005;No data;34;48;60;No data;No data;59
30/07/2005;No data;55;46;67;No data;No data;59
31/07/2005;No data;45;40;48;No data;No data;49
