Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/06/2005;No data;40;23;41;No data;No data;42
02/06/2005;No data;38;26;27;No data;No data;45
03/06/2005;No data;55;55;55;No data;No data;63
04/06/2005;No data;52;53;49;No data;No data;64
05/06/2005;No data;62;63;76;No data;No data;74
06/06/2005;No data;62;51;66;No data;No data;70
07/06/2005;No data;36;43;47;No data;No data;41
08/06/2005;No data;58;57;49;No data;No data;62
09/06/2005;No data;46;55;53;No data;No data;53
10/06/2005;No data;53;63;71;No data;No data;65
11/06/2005;No data;49;52;54;No data;No data;56
12/06/2005;No data;51;51;56;No data;No data;60
13/06/2005;No data;38;43;29;No data;No data;50
14/06/2005;No data;53;51;39;No data;No data;61
15/06/2005;No data;52;37;52;No data;No data;57
16/06/2005;No data;40;31;33;No data;No data;46
17/06/2005;No data;25;30;29;No data;No data;43
18/06/2005;No data;42;20;41;No data;No data;36
19/06/2005;No data;75;59;74;No data;No data;74
20/06/2005;No data;61;59;53;No data;No data;63
21/06/2005;No data;55;44;52;No data;No data;61
22/06/2005;No data;58;55;46;No data;No data;64
23/06/2005;No data;61;56;60;No data;No data;62
24/06/2005;No data;52;40;60;No data;No data;53
25/06/2005;No data;58;66;70;No data;No data;67
26/06/2005;No data;62;63;64;No data;No data;66
27/06/2005;No data;45;48;58;No data;No data;53
28/06/2005;No data;52;47;54;No data;No data;54
29/06/2005;No data;53;57;60;No data;No data;65
30/06/2005;No data;44;42;34;No data;No data;54
