Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland Silksworth
01/03/2005;No data;19;28;60;No data;46
02/03/2005;No data;No data;51;78;No data;62
03/03/2005;No data;No data;55;45;No data;52
04/03/2005;No data;No data;68;72;No data;72
05/03/2005;No data;61;64;76;No data;72
06/03/2005;No data;49;44;70;No data;51
07/03/2005;No data;35;44;62;No data;52
08/03/2005;No data;55;64;73;No data;No data
09/03/2005;No data;41;46;No data;No data;No data
10/03/2005;No data;34;50;No data;No data;50
11/03/2005;No data;64;71;No data;No data;No data
12/03/2005;No data;59;62;No data;No data;65
13/03/2005;No data;58;63;No data;No data;67
14/03/2005;No data;56;52;No data;No data;62
15/03/2005;No data;56;59;No data;No data;73
16/03/2005;No data;60;No data;No data;No data;71
17/03/2005;No data;64;No data;No data;No data;67
18/03/2005;No data;46;No data;No data;No data;47
19/03/2005;No data;29;31;No data;No data;29
20/03/2005;No data;30;17;No data;No data;27
21/03/2005;No data;39;20;No data;No data;35
22/03/2005;No data;25;20;No data;No data;33
23/03/2005;No data;54;38;No data;No data;48
24/03/2005;No data;39;14;No data;No data;29
25/03/2005;No data;48;56;No data;No data;69
26/03/2005;No data;44;54;No data;No data;No data
27/03/2005;No data;50;56;No data;No data;No data
28/03/2005;No data;47;51;No data;No data;No data
29/03/2005;No data;35;41;No data;No data;No data
30/03/2005;No data;55;59;No data;No data;No data
31/03/2005;No data;57;62;No data;No data;No data
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
End;;;;;;
