Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/05/2005;No data;31;52;41;No data;No data;54
02/05/2005;No data;63;57;62;No data;No data;74
03/05/2005;No data;63;49;56;No data;No data;No data
04/05/2005;No data;83;81;91;No data;No data;No data
05/05/2005;No data;64;72;52;No data;No data;No data
06/05/2005;No data;64;66;53;No data;No data;No data
07/05/2005;No data;63;63;65;No data;No data;No data
08/05/2005;No data;65;69;63;No data;No data;No data
09/05/2005;No data;57;60;64;No data;No data;No data
10/05/2005;No data;69;66;84;No data;No data;No data
11/05/2005;No data;61;64;56;No data;No data;60
12/05/2005;No data;62;60;61;No data;No data;63
13/05/2005;No data;67;68;82;No data;No data;74
14/05/2005;No data;75;72;88;No data;No data;84
15/05/2005;No data;61;67;53;No data;No data;62
16/05/2005;No data;73;66;81;No data;No data;80
17/05/2005;No data;69;66;78;No data;No data;74
18/05/2005;No data;No data;55;60;No data;No data;62
19/05/2005;No data;No data;47;53;No data;No data;67
20/05/2005;No data;No data;48;53;No data;No data;No data
21/05/2005;No data;No data;58;55;No data;No data;No data
22/05/2005;No data;No data;65;67;No data;No data;No data
23/05/2005;No data;No data;62;52;No data;No data;No data
24/05/2005;No data;63;32;54;No data;No data;No data
25/05/2005;No data;56;47;50;No data;No data;61
26/05/2005;No data;74;73;66;No data;No data;74
27/05/2005;No data;47;51;65;No data;No data;62
28/05/2005;No data;68;63;56;No data;No data;75
29/05/2005;No data;76;76;65;No data;No data;77
30/05/2005;No data;48;60;53;No data;No data;67
31/05/2005;No data;46;52;55;No data;No data;59
