Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/11/2005;No data;38;25;37;No data;No data;41
02/11/2005;No data;39;17;42;No data;No data;34
03/11/2005;No data;49;27;46;No data;No data;50
04/11/2005;No data;50;43;37;No data;No data;57
05/11/2005;No data;42;25;38;No data;No data;45
06/11/2005;No data;54;46;44;No data;No data;57
07/11/2005;No data;No data;40;42;No data;No data;53
08/11/2005;No data;31;30;45;No data;No data;43
09/11/2005;No data;30;32;32;No data;No data;46
10/11/2005;No data;41;40;36;No data;No data;53
11/11/2005;No data;53;50;40;No data;No data;59
12/11/2005;No data;49;49;42;No data;No data;56
13/11/2005;No data;36;39;42;No data;No data;44
14/11/2005;No data;47;61;30;No data;No data;60
15/11/2005;No data;34;41;38;No data;No data;49
16/11/2005;No data;33;37;46;No data;No data;42
17/11/2005;No data;13;17;19;No data;No data;25
18/11/2005;No data;8;15;6;No data;No data;8
19/11/2005;No data;9;16;9;No data;No data;13
20/11/2005;No data;20;24;16;No data;No data;28
21/11/2005;No data;7;14;6;No data;No data;14
22/11/2005;No data;2;5;6;No data;No data;7
23/11/2005;No data;2;12;4;No data;No data;6
24/11/2005;No data;36;52;41;No data;No data;57
25/11/2005;No data;33;40;48;No data;No data;42
26/11/2005;No data;42;37;50;No data;No data;42
27/11/2005;No data;39;53;54;No data;No data;49
28/11/2005;No data;37;48;54;No data;No data;46
29/11/2005;No data;16;26;22;No data;No data;28
30/11/2005;No data;16;5;20;No data;No data;18
