Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/10/2005;No data;44;48;39;No data;No data;53
02/10/2005;No data;34;41;41;No data;No data;45
03/10/2005;No data;24;45;27;No data;No data;48
04/10/2005;No data;23;28;31;No data;No data;41
05/10/2005;No data;20;16;28;No data;No data;35
06/10/2005;No data;11;7;23;No data;No data;19
07/10/2005;No data;20;7;23;No data;No data;19
08/10/2005;No data;37;32;40;No data;No data;41
09/10/2005;No data;44;36;44;No data;No data;49
10/10/2005;No data;43;No data;50;No data;No data;45
11/10/2005;No data;28;No data;43;No data;No data;38
12/10/2005;No data;27;No data;42;No data;No data;27
13/10/2005;No data;37;25;60;No data;No data;43
14/10/2005;No data;27;19;39;No data;No data;29
15/10/2005;No data;39;37;49;No data;No data;56
16/10/2005;No data;39;46;52;No data;No data;60
17/10/2005;No data;33;28;33;No data;No data;42
18/10/2005;No data;30;32;34;No data;No data;46
19/10/2005;No data;15;12;20;No data;No data;20
20/10/2005;No data;37;28;35;No data;No data;38
21/10/2005;No data;16;26;25;No data;No data;30
22/10/2005;No data;47;39;64;No data;No data;49
23/10/2005;No data;21;19;24;No data;No data;24
24/10/2005;No data;41;35;41;No data;No data;54
25/10/2005;No data;47;42;38;No data;No data;55
26/10/2005;No data;32;22;28;No data;No data;35
27/10/2005;No data;24;10;29;No data;No data;23
28/10/2005;No data;44;26;46;No data;No data;48
29/10/2005;No data;41;28;45;No data;No data;45
30/10/2005;No data;46;40;46;No data;No data;49
31/10/2005;No data;39;24;39;No data;No data;36
