Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/09/2005;;35;40;No data;No data;No data;50
02/09/2005;;42;31;No data;No data;No data;47
03/09/2005;;No data;42;48;No data;No data;57
04/09/2005;;No data;58;51;No data;No data;66
05/09/2005;;No data;31;54;No data;No data;50
06/09/2005;;No data;50;40;No data;No data;43
07/09/2005;;42;45;32;No data;No data;59
08/09/2005;;35;38;33;No data;No data;41
09/09/2005;;35;47;57;No data;No data;63
10/09/2005;;43;44;59;No data;No data;62
11/09/2005;;40;36;55;No data;No data;48
12/09/2005;;30;23;29;No data;No data;28
13/09/2005;;46;50;44;No data;No data;67
14/09/2005;;52;58;45;No data;No data;65
15/09/2005;;37;30;50;No data;No data;43
16/09/2005;;35;39;57;No data;No data;46
17/09/2005;;32;40;32;No data;No data;42
18/09/2005;;44;50;41;No data;No data;55
19/09/2005;;45;47;40;No data;No data;56
20/09/2005;;40;44;41;No data;No data;49
21/09/2005;;27;25;32;No data;No data;No data
22/09/2005;;37;35;48;No data;No data;No data
23/09/2005;;49;35;52;No data;No data;52
24/09/2005;;37;26;36;No data;No data;40
25/09/2005;;38;31;39;No data;No data;40
26/09/2005;;36;24;34;No data;No data;40
27/09/2005;;42;47;38;No data;No data;56
28/09/2005;;44;46;35;No data;No data;54
29/09/2005;;42;44;40;No data;No data;54
30/09/2005;;33;28;22;No data;No data;38
